block_number, magic_number, block_size, version, previous_block_hash, merkle_root, time, bits, nonce
blk00041.dat,D9B4BEF9,0003CC83,00000002,00000000000003D526FC1C7960C92CBC29C69F9E19856E6BFC49D7E99A843DB7,C33B815616F5D9FAF4F314079755EE14C03B822BB37AEA188E50074A1ADD21F3,51152D89,1A051F3C,59F9DD57
blk00018.dat,D9B4BEF9,00014A13,00000001,00000000000008304D22E415A11136E536E0E34F4F06E74879579711F4799E50,61A4BF8F7D5B7CC5FC7F9756355D4E17586F6BD56AC21A45B463FB32C549D28B,501BD761,1A083CC9,D3E65F8C
blk00021.dat,D9B4BEF9,0003CCFC,00000001,000000000000060D1D65F18DFDAFFCE71AC1ABA435D8E852C60A7A79F501264D,156D94F204344A6AA965FF8418F014FC1C723A51AFB279C59E3AB46401237C92,503F69A2,1A06DFBE,E6D23A0C
blk00003.dat,D9B4BEF9,00007530,00000001,000000000000000E5B44CB9B537E79227BA232B45CBD5AF5112F186D03BCA221,49550619E67E78056C365DD9E2E0F1D3F2E1227BAC0BF52D621B93476F1E5349,4E24878F,1A0ABBCF,0AA64562
blk00019.dat,D9B4BEF9,0003CD15,00000001,00000000000004C630CB6848F1FCADD28461914B26ED7BF3D750354EA052520D,C4061C59A6B10A4E5C54FCBA478C6D3EA0C2AADA0D4096A0E5B1BD5C9CA465F8,5028D122,1A07A85E,FBB1D2CA
blk00007.dat,D9B4BEF9,0000CBA6,00000001,000000000000052C8A98C912E20B8784A59CDAB3B67CD297E8054D0CF5875CF8,354C90A2EEE508C80E90F02D12934534672800B18488ECFD7FEC2EA21505CCA2,4F1F552D,1A0CD43F,BCC6C777
blk00005.dat,D9B4BEF9,00006036,00000001,00000000000001D0618AFA290742A9EEB8519D5C0BAB75C4F906D226190A2EA4,A5FDC3F06F751727D4BF9D7F70E3BA61EE8DD54296967843182BF45E775D5973,4E95A9C1,1A09EE5D,00474A1A
blk00004.dat,D9B4BEF9,0000A703,00000001,0000000000000592A90CADF88320A3526F376F3461898AA9D90DE09B1799D99D,4907F49619EBB5CEADBFB8649B5703F5E2E8A097D81BCBA16084CFE1B89BC63D,4E57547B,1A094A86,5E9C9840
blk00001.dat,D9B4BEF9,00003530,00000001,00000000000064AC7C1B57C1D3B4FD3A3AEB2F26C96C2DDE853EEF230A271048,232F2EA4C95F58097D796BC47260EC99E910C0D99ACCCC82CAE37CCE90076AE1,4DB47267,1B00B5AC,2D98B11F
blk00006.dat,D9B4BEF9,00006762,00000001,00000000000007169E562472FB20F0E940FC2B17B8AA27BE620C49F0DA3ABC14,DE1D52C345210D403292D1458AD39FF543F55F83AD21A8E9F8FE52E7420A42DD,4EDFB521,1A0F61B1,D31DB157
